id,Word,meaning
17423,ممتنع ,"  محال، ناشدنی، ناممکن ، امتناع‌کننده، خودداری‌کننده ، ممکن"
17424,ممد ,"اسم  معاون، یاری‌دهنده، یاریگر، یاور ، کشنده"
17425,ممدوح ,"  ستوده، محمود ، مقدوح، ناممدوح ، ستایش‌شده، تحسین‌شده ، ستایشگر "
17426,ممدود ,"  کشیده ، طولانی، دراز ، گسترده، وسیع "
17427,ممر ,"  راه، طریق ، گذرگاه، معبر، عبورگاه ، پل، جسر "
17428,ممزوج ," آمیخته، درهم، قاطی، مخلوط، مرکب"
17429,ممزوج شدن ," آمیخته‌شدن، مخلوط شدن، درهم رفتن، قاطی شدن، ترکیب شدن "
17430,ممزوج کردن ,"آمیختن، مخلوط کردن، درهم کردن، قاطی کردن، ترکیب کردن "
17431,ممسک ," بخیل، تنگ‌چشم، تنگ‌نظر، خسیس، زفت، گرسنه‌چشم، لئیم، نان‌نخور، نظرتنگ ، سخی، کریم"
17432,ممسکی ," بخل، خست، لئامت ، سخاوت"
17433,ممکن ," امکان‌پذیر، شدنی، صورت‌پذیر، محتمل، مقدور، میسر، میسور ،  غیرممکن ، واجب "
17434,ممکن شدن ,"  میسر شدن، امکان یافتن، مقدور شدن ، عملی‌شدن، به حقیقت پیوستن، محقق شدن "
17435,ممل ," خسته‌کننده، کسالت‌بار، کسالت‌زا، ملال‌آور، ملال‌انگیز، ملالت‌بار ، نشاطآور"
17436,مملکت ," اقلیم، سرزمین، قلمرو، کشور، ولایت"
17437,مملو ," آکنده، انباشته، پر، سرشار، لبالب، لبریز، مشبع، مشحون، ممتلی ، تهی، خالی"
17438,مملو شدن ," پرشدن، لبریز شدن، لبالب شدن، سرشار شدن، آکنده شدن، ممتلی شدن "
17439,مملوک ," برده، بنده، زرخرید، عبد، غلام ، ارباب، مالک"
17440,مملو کردن ," پر کردن، لبریز کردن، لبالب کردن، سرشار کردن، آکندن، ممتلی کردن "
17441,ممنوع‌الورود ,"  قاچاق ، قرق"
17442,ممنوع ," غیرمجاز، غیرقانونی، قدغن، ممنوعه، منع‌شده، ناروا، نهی ، مجاز"
17443,ممنون ," سپاسگزار، قدردان، متشکر، منت‌پذیر، نمک‌شناس ، کفور"
17444,ممنون شدن ,"سپاسگزار شدن، قدردان بودن، متشکر شدن، سپاس داشتن "
17445,مموش ,"    فکلی ، قرتی، بچه‌قرتی ، ژیگولو "
17446,ممه ,"  پستان ، پستانک "
17447,ممهور شدن , مهرشدن 
17448,ممهور ,"اسم مهر، مهرشده"
17449,ممیت ," میراننده ، محیی "
17450,ممیز ,"اسم  ارزیاب، شناسا، مفتش، مقوم ، شاخص، مشخص ، آگاه، دانا "
17451,ممیزی ," ارزیابی، بررسی، تحقیق، تفتیش، رسیدگی، سانسور، وارسی"
17452,منابر , منبرها 
17453,منابع ,"    منبع‌ها، سرچشمه‌ها ، ماخذ، مرجع‌ها "
17454,مناجات ,"  دعا، رازگویی، نیایش ، رازونیاز کردن (باخدا) ، نجوا کردن ، سحر، سحرگاه (در ماه رمضان)"
17455,مناجات کردن ,"  رازونیاز کردن، نجوا کردن، دعا خواندن، نیایش کردن ، سحرخوانی کردن، مناجات‌خوانی کردن، مناجاتگری کردن "
17456,مناجاتی ," مناجاتگر، مناجات‌خوان "
17457,منادی ," جارچی، منادی‌گر، ندادهنده، نداگر، هاتف"
17458,منار ," گلدسته، ماذنه، مناره"
17459,مناره ," گلدسته، ماذنه، منار"
17460,منازع ,"صفت پیکارجو، دشمن، ستیزه‌جو، ستیزه‌گر، عدو، مبارز، محارب، مدعی، معاند"
17461,منازعه ," تنازع، جدال، جنگ، دعوا، کشمکش، مرافعه، مناقشه، نزاع، منازعت، درگیری، ستیز، ستیزه "
17462,منازل ,"    خانه‌ها، سراها، منزل‌ها ، مراحل ، اتراقگاه‌ها "
17463,مناسبات ," روابط، ارتباطات، وابستگی‌ها، پیوندها "
17464,مناسبت ,"  ارتباط، بستگی، تناسب، ربط، سنخیت، موافقت، موقعیت ، دلیل، جهت، سبب، انگیزه "
17465,مناسب ,"  درخور، زیبنده، شایسته، قابل، نیکو ، بموقع، جور، سازگار، مساعد، موافق ، فراخور، معقول ، مشابه، همانند ، ارزان، رخیص ، نامناسب"
17466,مناسک ," آداب، آیین‌ها، سنن، عبادات، عبادت‌ها، منسک‌ها، مراسم، نیایش‌ها"
17467,مناصب ," رتبه‌ها، درجه‌ها، منصب‌ها، مقامات "
17468,مناصحت ," اندرز دادن، پنددادن، نصح، نصیحت کردن"
17469,مناصفه ," دونیمه کردن، دوبخش کردن، دوقسمت کردن، نصف کردن "
17470,مناط ,"  اساس، بنیان، حجت، سند، ملاک ، معیار، مبنا ، آویختگی، آویزش، تعلیق"
17471,مناطق ," منطقه‌ها، نواحی، ناحیه‌ها "
17472,مناظر ," پرسپکتیو، چشم‌اندازها، منظره‌ها"
17473,مناظره ,"  بحث، جدل، مباحثه، مجادله، مذاکره، مطارحت ، مباحثه کردن، مجادله کردن، ستیهیدن "
17474,مناظره کردن ,"مباحثه کردن، مجادله کردن، بحث کردن "
17475,مناع ," بازدارنده، منع‌کننده "
17476,مناعت ,"  بزرگ‌منشی، بلندنظری، بزرگواری، بلندهمتی، عزت‌نفس، والاهمتی ، بلندنظر بودن ، طبع عالی‌داشتن "
17477,منافات ," اختلاف، تفاوت، تنافر، تضاد، ناهم‌خوانی، تناقض، مغایرت، ناسازگاری "
17478,منافات داشتن ,"  فرق داشتن، اختلاف داشتن، تفاوت داشتن ، نقیض بودن، تضاد داشتن، ناهم‌خوانی داشتن، ناسازگار بودن، ناسازگاری داشتن، تضاد داشتن، ناهم‌خوان بودن "
17479,منافذ ,"    منفذها، سوراخ‌ها ، محل‌های نفوذ "
17480,منافع ," فواید، مزایا، مصالح، سودها، منفعت‌ها، فایده‌ها ، مضار"
17481,منافقانه ," ریاکارانه، مزورانه"
17482,منافقت ," تزویر، دورویی، سالوس، ظاهرنمایی، نفاق"
17483,منافق ,"صفت  دورو، ریاکار، مزور ، صادق ، غماز ، کافر "
17484,منافی ,"اسم تناقض، ضد، مخالف، مغایر، انکارکننده، ناسازگار، ناساز، نافی، نفی‌کننده "
17485,مناقب ," خصایل، فضایل، محاسن، محامد، محمدت‌ها، منقبت‌ها، نیکی‌ها "
17486,مناقشات ," مناقشه‌ها، جدال‌ها، مجادله‌ها، ستیزه‌ها، منازعه‌ها "
17487,مناقشه ," بحث، جدال، جدل، ستیز، ستیزه، ستیزه‌جویی، سختگیری، کشمکش، مجادله، منازعه، نقار "
17488,مناقشه کردن ,"  نزاع کردن، بحث کردن، جدل کردن ، ستیز کردن، ستیزه‌جویی کردن، خصومت ورزیدن "
17489,مناقصه ,"    ارزان‌خری ، کم کردن، رقابت کردن (درقیمت و فروش)، مناقصت "
17490,مناکحت ," زناشویی، عروسی، مناکحه، مزاوجت، نکاح، وصلت ، بیزاری، جدایی، طلاق "
17491,مناکحه ," زناشویی، عروسی، مزاوجت، مناکحت، نکاح، وصلت ، طلاق "
17492,منال ,"  درآمد، ملک ، تمکن، تمول، ثروت، دارایی"
17493,منام ,"  خواب، رویا ، خوابگاه "
17494,منان ," بخشایشگر، بخشنده، منت‌گزار"
17495,مناهج ,"  منهج‌ها، راه‌ها، طریق‌ها، طرق ، شیوه‌ها، روش‌ها "
17496,مناهی ," نهی‌شده‌ها، منکرات "
17497,منبر ,"  تریبون، کرسی ، جلسه سخنی‌رانی، مجلس وعظ "
17498,منبری ," واعظ، خطیب، روضه‌خوان، موعظه‌گر "
17499,منبسط ,"  باز، گسترده، گشاده، گشوده ، بشاش، خوشحال، شادان، گشاده‌رو ، بسته، منقبض"
17500,منبع ," اصل، چشمه، سبب، سرچشمه، علت، ماخذ، مبداء، مرجع، منشا "
17501,منبعث ,"  برانگیخته ، نشات گرفته، ناشی "
17502,منبعث شدن ," نشات‌گرفتن، ناشی شدن(از ) "
17503,منت ," احسان، برتری، سپاس، شکر، فضل، نیکی، لطف "
17504,منتج ,"  برآیند، منتجه ، منتهی، منجر"
17505,منتج شدن ,"  نتیجه‌دادن ، منجر شدن، منتهی شدن "
17506,منتخب ," انتخاب‌شده، برگزیده، زبده، صفوت، گزیده، مندوب، نخبه، نقاوه ، انتصابی "
17507,منت داشتن ,"سپاس‌گزار بودن، متشکر بودن، ممنون بودن، منت‌پذیر بودن "
17508,منتزع ,"  جدا، سوا، کنده، منفک ، مجرد"
17509,منتزع شدن ," جداشدن، جدا گشتن "
17510,منتسب ,"  خویشاوند، قوم، منسوب، وابسته ، منتزع ، نسبت‌داده‌شده "
17511,منتسب کردن ,"  نسبت دادن، انتساب دادن ، وابسته کردن "
17512,منتشا ," عصای قلندر، چوب‌دستی درویشان "
17513,منتشر ,"صفت  پراکنده، متفرق ، انتشار، پخش، چاپ"
17514,منتشر شدن ,"  انتشار یافتن ، پخش شدن، توزیع شدن ، پراکنده شدن ، چاپ شدن، به چاپ رسیدن ، سرایت کردن ، گسترده شدن "
17515,منتشر کردن ,"  انتشار دادن ، پخش کردن، توزیع کردن ، پراکندن ، چاپ کردن، به چاپ رساندن ، سرایت دادن ، گستردن ، ترویج کردن، رواج‌دادن "
17516,منتصر ," پیروز، غالب، فاتح، ناصر ، مغلوب، مقهور"
17517,منتظر ,"  امیدوار، انتظارکش، چشم‌به‌راه، گوش‌به‌زنگ ، مترصد، مترقب ، متوقع، مراقب، نگران"
17518,منتظر خدمت ,"معلق، برکناری (موقت)"
17519,منتظر شدن ," صبر کردن، انتظار کشیدن، منتظر ماندن، چشم به راه‌بودن "
17520,منتظم ," آراسته، بسامان، مرتب، منظم ، نامنتظم، غیرمنتظم"
17521,منتفع ," سودبرنده، نفع‌برنده، بهره‌ور، بهره‌مند ، متضرر، خسران‌دیده، زیان‌رسیده "
17522,منتفی ," برطرف، رد، رفع، نفی، نفی‌شده، انجام‌نشدنی "
17523,منتفی شدن ,"  برطرف شدن، از بین رفتن، از میان رفتن ، مسکوت ماندن، رها شدن "
17524,منتقد ,"صفت  انتقادکننده، ایرادگیر، ناقد، خرده‌گیر، عیب‌جو، معترض، نکته‌گیر، انتقادگر، انتقادجو ، ناقد، نقدنویس "
17525,منتقل ,"صفت  جابه‌جایی، نقل‌مکان ، انتقال‌یافته ، نقل‌شده، برده‌شده "
17526,منتقل کردن ,"  جابه‌جا کردن، انتقال دادن، نقل‌مکان دادن ، بردن ، رساندن، ابلاغ کردن ، منتقل شدن "
17527,منتقم ,"صفت انتقام‌جو، کینه‌توز، کینه‌خواه، کینه‌جو، کینه‌کش، کینه‌ورز، کینه‌ور ، عفو"
17528,منت گذاشتن ,"  منت نهادن، به رخ کشیدن ، لطف کردن، محبت کردن، نیکی کردن، احسان کردن ، منت‌پذیرفتن "
17529,منت نهادن ,"  منت‌گذاشتن ، لطف کردن، محبت کردن ، احسان کردن، نیکی کردن "
17530,منتهاالیه ," آخر، انتها، پایان، ته ، آغا "
17531,منتها ,"  اما، لیکن، ولی ، آخر، انتها، پایان ، درنهایت "
17532,منتهی ," مختوم، منجر"
17533,منثور ,"اسم  پراکنده، متفرق ، نثر ، شب‌بو ، منظوم "
17534,منجح ,"    کامروا، کامیاب ، پیروز، پیروزمند ، نجات‌بخش، ناجی، رهایی‌بخش، رهاننده "
17535,منجر ," کشیده، منتج، منتهی، کشیده‌شده "
17536,منجلاب ,"  باتلاق، لجن‌زار ، گرداب، ورده ، پارگین، گنداب، وحل ، دامگاه، دامگه ، گودال "
17537,منجلی ," آشکار، جلوه‌گر، جلی، عیان ، مختفی"
17538,منجلی شدن ," آشکارشدن، جلوه‌گر شدن، عیان گشتن، منجلی گشتن، متجلی شدن "
17539,منجلی کردن ," آشکار کردن، جلوه‌گری کردن، آشکار ساختن، عیان کردن، تجلی کردن، ظاهر شدن "
17540,منجم ," اخترشناس، ستاره‌شناس، گردون‌شناس، نجوم‌دان، اختربین "
17541,منجمد شدن ,"  یخ زدن، یخ بستن ، فسردن "
17542,منجمد ,"  یخ‌بسته، یخ‌زده ، بسته، جامد، دلمه ، مایع ، بی‌حرکت "
17543,من‌جمله ," ازآن‌جمله، ازآن‌میان، ازجمله "
17544,منجنیق ," فلاخن، قلاب‌سنگ، قلماسنگ"
17545,منجی ,"اسم رهاننده، رهایی‌بخش، ناجی، نجات‌بخش، نجات‌دهنده"
17546,منحرف ,"  بیراهه‌رو، فاسد، خراب، آن‌کاره، پالان‌کج، سست‌قدم، کجرو، گمراه، منحط ، انحراف‌دار، قیقاج، متمایل، ناراست ، ملحد ، مهتدی"
17547,منحرف شدن ,"  فاسد شدن، خراب شدن، منحط شدن، آن‌کاره‌شدن ، بیراهه رفتن، گم‌راه شدن ، انحراف‌داشتن ، دور شدن (از راه راست) "
17548,منحرف کردن ," به‌بیراهه کشاندن، گم‌راه کردن، از راه به در بردن "
17549,منحصر شدن ,"انحصار یافتن، محدود شدن "
17550,منحصر کردن ,"منحصر ساختن، محدود کردن "
17551,منحصر ,"  مختص، مخصوص، ویژه ، انحصاریافته ، محدود، محصور "
17552,منحط ,"  انحطاطیافته، پست، غاوی، فرومایه ، فاسد، گمراه، منحرف "
17553,منحل ,"  برچیده، تعطیل، متلاشی، منحله ، برپا، دایر ، بازشده، حل‌شده "
17554,منحل شدن ,"  انحلال‌یافتن، برچیده شدن ، گسسته شدن، گسیخته‌شدن ، از هم پاشیدن، متلاشی شدن ، حل‌شدن، وا شدن "
17555,منحنی ,"  انحنادار، خمیده، قوس‌دار، کج، مقوس ، هلال، خمیده ، مستقیم"
17556,منحوس ," بداختر، بدبخت، شوم، مشئوم، نامبارک، نامیمون، نحس، نکبتی ، مبارک، همایون"
17557,منحول ,"اسم سخن‌بربسته، شعربربسته، منتسب، انتحالی "
17558,من‌حیث‌المجموع ," ازهرنظر، به‌طورکلی، جمعا، روی‌هم‌رفته، کلا"
17559,منخر , سوراخ بینی 
17560,من ,"  خود، خویشتن، خویش ، ضمیر ، نفس ، ضمیر اول‌شخص مفرد ، سه‌کیلو، واحد وزن "
17561,من‌درآوردی ,"  بی‌پایه، بی‌سروته، جعلی، ساختگی، مجعول، نامربوط، بی‌ماخذ ، من‌درآری، من عندی "
17562,مندرج ," ثبت‌شده، درج‌شده، ضبط، نوشته"
17563,مندرس ," اسقاط، پاره‌پاره، پوسیده، خلق، خلقان، ژنده، فرسوده، کهنه، مرقع ، نو"
17564,مندرس شدن ,"فرسوده شدن، ژنده شدن، کهنه شدن، پاره‌پاره‌شدن "
17565,مندوب ," مستحب ،  حرام ، واجب ، منتخب، برگزیده "
17566,مندیل ,"  دستار، سربند، عصابه، عمامه ، دستمال"
17567,منزجر ," بیزار، دل‌زده، متنفر، نفور"
17568,منزجر شدن ," بیزارشدن، دل‌زده شدن، متنفر شدن، نفور گشتن "
17569,منزجر کردن ," بیزار کردن، متنفر کردن، دل‌زده کردن "
17570,منزلت داشتن ,"  ارج داشتن، قرب داشتن، قدر داشتن، حرمت‌داشتن ، ارزش داشتن، اهمیت داشتن، اعتبارداشتن ، شان داشتن، مرتبت داشتن ، مکانت‌داشتن، درجه و پایه داشتن "
17571,منزلت ,"  شان، درجه، رتبه، مقام، مرتبه، مرتبت ، حد، محل، پایگاه، جایگاه، پایه ، ارزش، اهمیت، اعتبار، ارج، بها ، جاه، شان ، قدر، قرب، حرمت، آبرو "
17572,منزل ,"  جا، مکان ، جایگاه، مقام ، بیت، خانه، دار، دولت‌سرا، سامان، سرا، کاشانه، ماوا، مسکن، موطن، نشیمن، وثاق، یورت ، مرحله ، اهل‌بیت، زن و فرزندان ، مقصد، هدف ، اقامتگاه ، مسافت بین دواتراق ، منزلگاه، منزلگه "
17573,منزل دادن ," جا دادن، سکونت دادن "
17574,منزل داشتن ," اقامت کردن، سکونت داشتن، ساکن بودن "
17575,منزل کردن ," اقامت کردن، منزل گرفتن، خانه گرفتن، ماوا گرفتن، سکنا گزیدن "
17576,منزوی ,"صفت خلوت‌نشین، خلوتی، عزلت‌گزین، گوشه‌گیر، گوشه‌نشین، معتزل، معتکف"
17577,منزوی شدن ," خلوت‌گزیدن، گوشه‌گیر شدن، عزلت گزیدن، تنها شدن، دوری گزیدن، گوشه‌نشین شدن "
17578,منزوی کردن ,"  تنها گذاشتن، گوشه‌نشین کردن ، به حاشیه‌راندن، حاشیه‌نشین کردن "
17579,منزه ,"  پاک، پاکیزه، مقدس، مهذب، نظیف ، بری، مبرا ، پاکدامن ، بی‌آلایش ، ناپاک، نامنزه "
17580,منسجم ," انسجام‌یافته، باانسجام، ساختاریافته، پیوسته، سیستماتیک، مدون، نظام‌مند، یک‌پارچه ، غیرمنسجم"
17581,منسوبان ," ارحام، اقربا، اقوام، خویشان، منسوبین ، بیگانگان، غربا"
17582,منسوب ,"  خویش، قوم، متعلق، منتسب، وابسته ، مربوط، پیوسته ، غریبه"
17583,منسوجات ," بافته‌ها، پارچه‌ها، بافته‌شده‌ها، بافتنی‌ها "
17584,منسوج ,"اسم بافته، پارچه، نسیج"
17585,منسوخ شدن ,"  ازرواج افتادن، نامتداول گشتن، از بین رفتن ، باب شدن، متداول گشتن ، لغو شدن، ملغا شدن، باطل شدن ، نامعتبر شدن، از اعتبار افتادن "
17586,منسوخ کردن ,"   باطل کردن، ازبین بردن ، لغو کردن، ملغا ساختن ، باب کردن، متداول ساختن ، ازرواج انداختن "
17587,منسوخ گشتن ,"  باطل شدن، ازبین رفتن ، لغو شدن، ملغا شدن ، باب شدن، متداول شدن ، ور افتادن "
17588,منسوخ ,"  نسخ، نسخ‌شده، باطل‌گردیده، فسخ‌شده ، ازبین‌رفته، ورافتاده، نامتداول، نارایج، دمده ، رایج، مد"
17589,منشات ," تحریرات، مراسلات، مکتوبات، نامه‌ها"
17590,منشا ,"  اصل، سرچشمه، مبداء، محل پیدایش، منبع ، سبب، باعث، موجب ، جای نشوونما "
17591,منش ," خصلت، خلق، خو، خوی، داب، سجیه، سگال، شخصیت، طبع، طبیعت، عادت"
17592,منشعباب ,"  شاخه‌ها، متفرعات ، شعبه‌ها "
17593,منشعب ," شاخه، شاخه‌شاخه، متفرع"
17594,منشعب شدن ,"  جدا شدن، کناره گرفتن ، شاخه شاخه شدن، متفرع گشتن "
17595,منشق ,"  پاره، شکافته ، ترکیده، منفجر"
17596,منشور ,"اسم  اجازه، حکم، خط، رقعه، رقیمه، طغرا، طومار، عرضحال، عریضه، فرمان، کاغذ، مراسله، مرقومه، مکتوب، نامه، نبشته، نوشته، ورقه ، بلور ، چندوجهی ، پراکنده، منتشر ، زنده‌شده، مبعوث ، اصول، نظریات "
17597,منشیانه ,"  به شیوه‌منشیان، ادیبانه، دبیرانه ، پرتکلف، متکلفانه "
17598,منشی ," دبیر، کاتب، کاغذنویس، مترسل، نویسنده"
17599,منشی‌گری ," دبیری، کتابت، نویسندگی"
17600,منصب ,"  پایگاه، جاه، درجه، قدر، مرتبه، مقام ، پیشه، سمت، شغل، کار "
17601,منصب‌دار ," صاحب‌منصب، دارای مقام "
17602,منصرف ," پشیمان، برگشته، انصراف‌یافته، صرف‌نظرکرده "
17603,منصرف شدن ,"  ترک کردن، چشم‌پوشی کردن، صرف‌نظر کردن(ازقصد و میل) ، انصراف حاصل کردن، برگشتن، عدول کردن "
17604,منصرم ," بریده، جدا، گسسته، منقطع "
17605,منصف ,"  انصاف‌دار، باانصاف، بامروت ، حق‌بین، دادگر، عادل ، بی‌انصاف ، بی‌نظر ، آزرم‌جو "
17606,منصفانه ," حق‌بینانه، دادگرانه، عادلانه"
17607,منصفت ," انصاف، دادگری، عدالت، عدل، قسط"
17608,منصف ,"  نیمساز ، منصف‌الزاویه ، دونیمه‌کننده "
17609,منصوب ,"  تعیین، برگماشته، نصب‌شده، نصب ، برپا، قایم، مستقیم"
17610,منصوب شدن ," گماشته‌شدن، نصب شدن، پست گرفتن "
17611,منصوب کردن ,"برگماشتن، گماشتن، منصب دادن، منصب‌بخشیدن "
17612,منصور ," پیروز، چیره، غالب، فاتح، فیروز، نصرت‌یافته، فیروزمند، مظفر ، مغلوب، مقهور"
17613,منصه ,"  کرسی، تخت ، محل‌حضور، جایگاه ، جلوه‌گاه "
17614,منضبط ," باانضباط، بانظم، مرتب، منظم"
17615,منضج ," کارکن، مسهل، منجز"
17616,منضمات ," لواحق، ضمایم، پیوست‌ها "
17617,منضم ," پیوست، ضمیمه، ملحق"
17618,منضم شدن ,"ضمیمه شدن، پیوستن، ملحق شدن، متصل شدن "
17619,منضم کردن ,"ضمیمه کردن، متصل کردن "
17620,منطبق ,"  برابر، تطبیق‌یافته، مطابق، موافق، یکسان ، برهم‌نهاده، روی‌هم‌قرارگرفته "
17621,منطفی ," خاموش، فرونشانده ، مشتعل "
17622,منطفی شدن ," خاموش‌شدن، به خاموشی گراییدن "
17623,منطق ,"  سخن، کلام ، بینه، عقل ، روش‌شناسی، متدولوژی ، دلیل، علت "
17624,منطقه ," بخش، حدود، خطه، محدوده، ناحیه"
17625,منطقی ,"اسم  عقلایی، عقلانی، مدلل، درست، سنجیده، معقول ، روش‌شناس، منطق‌دان ، جدلی ، غیرمنطقی، نامعقول "
17626,منطوق ," ظاهر کلام، صورت‌سخن ، مفهوم "
17627,منطوی ,"    درهم‌پیچیده ، درنوردیده ، گردآمده "
17628,منظر ,"  تماشاگاه، منظره، چشم‌انداز، دورنما ، دید، دیدگاه، نظرگاه ، لقا ، مقبول، موردپسند "
17629,منظره ," تماشاگاه، چشم‌انداز، منظر، نظرانداز، نظرگاه، نما"
17630,منظم ," آراسته، بسامان، پرداخته، باترتیب، مرتب، منتظم ، پراکنده، نابسامان، نامنظم "
17631,منظور شدن ," محسوب‌شدن، لحاظ شدن، درنظر گرفتن، قلمداد شدن، مورد توجه قرار گرفتن، لحاظ شدن، ملحوظگشتن "
17632,منظور ,"  غرض، قصد، مراد، مقصود ، غایت، هدف ، قلمداد، ملحوظ ، مقبول، مورد پسند "
17633,منظور کردن ,"محسوب کردن، لحاظ کردن، درنظر گرفتن، قلمداد کردن، منظور داشتن، مورد توجه قراردادن "
17634,منظوم ,"    آراسته، بسامان، مرتب ، کلام موزون، شعر ، به‌رشته‌کشیده‌شده ، منثور "
17635,منظومه ,"    سیستم، مجموعه سیارات ، حکایت منظوم "
17636,منع ,"  بازداشت، تحریم، جلوگیری، قدغن، ممانعت، نفی، نهی ، بازداشتن، جلوگیری کردن، ممانعت به‌عمل‌آوردن "
17637,منع شدن ," قدغن شدن، نهی شدن، ممانعت شدن، جلوگیری شدن "
17638,منعطف شدن ,"متمایل شدن، برگرداندن "
17639,منعطف کردن ,"  متوجه کردن، معطوف ساختن ، تغییر جهت‌دادن، منعطف ساختن "
17640,منعطف ,"  متوجه، متمایل ، برگشته، انعطاف‌یافته "
17641,منعقد ,"  برپا، برقرار، دایر ، بسته، مجری ، دلمه، منجمد "
17642,منعقد شدن ,"   بسته شدن ، دلمه شدن ، سفت شدن ، برگزار شدن، برپا داشتن، تشکیل شدن، ترتیب‌یافتن "
17643,منعقد کردن ,"   بستن ، سفت کردن ، تنظیم کردن ، برپا کردن، برگزار کردن، تشکیل دادن، ترتیب دادن "
17644,منع کردن ," قدغن کردن، نهی کردن، ممانعت کردن، بازداشتن، جلوگیری کردن، ممنوع کردن "
17645,منعکس ,"  بازتابیده، انعکاس‌یافته ، نمایان، پدیدار، نمودار ، تابش‌یافته ، برگشته، واژگون ، ثبت‌شده، درج‌شده "
17646,منعکس شدن ,"انعکاس یافتن، پرتو افکندن، بازتابیدن ، منعکس کردن "
17647,منعکس کردن ,"  بازتاب دادن، انعکاس دادن ، بازتاباندن "
17648,منعم ," بخشنده، توانگر، ثروتمند، دارا، غنی ، مسکین"
17649,منغص ," تیره، کدر، مکدر، ناخوش، ناگوار"
17650,منغض کردن ,"   تیره کردن، مکدر ساختن ، ناخوش کردن، ناگوار ساختن "
17651,منفجر ," ترکیده، شکافته، گشوده"
17652,منفجر شدن ,"  ترکیدن ، از حال طبیعی خارج شدن (ناگهانی) ، اوج گرفتن، شدت یافتن ، از هم پاشیدن "
17653,منفجر کردن ,ترکاندن 
17654,منفذ ,"  ترک، ثقبه، خلل‌وفرج، رخنه، روزن، روزنه، سوراخ، شکاف، مجرا ، پنجره "
17655,منفرجه ,"صفت  باز، گشاده ، حاده، بسته ، جدا ، دور "
17656,منفردمنفرد ,"  تک، تنها، جدا، فرد، واحد، یکتا، یکه، یگانه ، عزب، مجرد ، متاهل ، بی‌مانند، بی‌نظیر، وحید، یگانه "
17657,منفصل ,"صفت  جدا، دور، سوا، گسسته، گسیخته، منفک، منقطع ، متصل، پیوسته ، اخراج، برکنار، عزل "
17658,منفصل شدن ," برکنارشدن، معزول شدن ، منصوب شدن "
17659,منفصل کردن ," ازکار برکنار کردن، معزول کردن ، منصوب کردن "
17660,منفعت بردن ," سودبردن، نفع کردن، فایده بردن، سود کردن ، ضرر کردن، زیان کردن "
17661,منفعت ,"  بهره، سود، فایده، مداخل، نفع ، ربا، ربح، کرایه ، رجحان، مزیت ، مضرت"
17662,منفعت‌طلب ,"سودجو، نفع‌طلب، منفعت‌پرست "
17663,منفعت‌طلبی ,"سودجویی، نفع‌طلبی، منفعت‌پرستی "
17664,منفعل ,"  پشیمان، تائب ، بی‌اراده ، اثرپذیر، تاثیرپذیر، پذیرا ، خجل، شرمسار، شرمنده "
17665,منفعل شدن ,"  شرمنده شدن، شرمسار گشتن، خجل گشتن ، تاثیر پذیرفتن "
17666,منفق ,"    انفاق‌ده، انفاق‌گر ، نفقه‌دهنده "
17667,منفک ,"  پراکنده، جدا، سوا، منتزع، کنده، منفصل، منقطع ، دور، غافل"
17668,منفک شدن ," جداشدن، سوا شدن، منتزع شدن، منشعب گشتن "
17669,منفور ," رانده، مردود، مطرود، نفرت‌انگیز ، محبوب"
17670,منقا ," پاک، سترده ، ناسترده "
17671,منقاد ,"  تسلیم، رام، رهوار، فرمان‌بردار، مطیع ، تابع، وابسته ، نافرمان، یاغی، سرکش "
17672,منقاد شدن ," تسلیم‌شدن، فرمان‌بردار شدن، مطیع شدن ، سرکش‌شدن، نافرمان شدن "
17673,منقاد کردن ," مطیع ساختن، فرمان‌بردار کردن، رام کردن، تسلیم کردن "
17674,منقار ," چنگ، تک، نول، نوک"
17675,منقاش ," موچین، موچینه"
17676,منقبت ,"  ثنا، ستایش، فضل، مدح، مدیحه، نعت ، تعریف، وصف ، هنر، کمال، فضل، کار نیک "
17677,منقبض ,"    انقباض‌یافته، گرفته ، جمع‌شده، چروکیده، به‌هم کشیده‌شده، ترنجیده ، منبسط "
17678,منقح ,"  اصلاح‌شده، تصحیح‌شده، تهذیب شده ، پاک، تمیز، صافی، طاهر، طیب، نظیف "
17679,منقرض ,"  برانداخته، سرنگون، مضمحل ، نابود، نابودشده، ازمیان‌رفته "
17680,منقرض شدن ," ازبین‌رفتن، نابود شدن، انقراض یافتن، مضمحل شدن، برافتادن، برچیده شدن، پایان یافتن، اضمحلال‌یافتن "
17681,منقرض کردن ,"ازبین بردن، برانداختن، نابود کردن، مضمحل کردن، برانداختن، برچیدن، از میان برداشتن "
17682,منقسم ," تقسیم‌شده، بخش‌بخش، حصه‌حصه "
17683,منقسم شدن ," تقسیم‌شدن، بخش‌بخش شدن، حصه‌حصه شدن، تکه‌تکه شدن "
17684,منقش ," پرنقش، مرتسم، منقوش، نقش‌دار، نگارین"
17685,منقصت ,"  عیب، عیبناکی ، کمی، کاستی، نقص، نقصان "
17686,منقضی ," سپری، سرآمده، گذشته"
17687,منقضی شدن ," سپری‌شدن، گذشتن، به سر رسیدن، پایان یافتن، سرآمدن، انقضا یافتن، خاتمه یافتن ، شروع‌شدن "
17688,منقطع ,"  جدا، قطع، گسسته، منفصل، منفک، ناپیوسته ، پیوسته، ممتد ، بریده، منصرم "
